entropy,executable_ext,script_ext,doc_or_media_ext,valid_pe,embedded_pe,obfuscation,suspicious_strings,label,path
0.25368001155980313,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay-debug/usr/lib/debug/usr/bin/yay.debug
0.7780278931883503,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/bin/yay
0.7495331208560869,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/zh_TW/LC_MESSAGES/yay.mo
0.743789980920201,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/zh_CN/LC_MESSAGES/yay.mo
0.6939783540552712,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/vi_VN/LC_MESSAGES/yay.mo
0.6934283678136534,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/vi/LC_MESSAGES/yay.mo
0.6798703609055636,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/uk/LC_MESSAGES/yay.mo
0.6611907793143917,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/tr/LC_MESSAGES/yay.mo
0.6467016275293165,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/sv/LC_MESSAGES/yay.mo
0.67139662346544,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/sk/LC_MESSAGES/yay.mo
0.679785533720214,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/ru/LC_MESSAGES/yay.mo
0.6808543737251678,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/ru_RU/LC_MESSAGES/yay.mo
0.6454009761375616,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/pt/LC_MESSAGES/yay.mo
0.6462697858029236,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/pt_BR/LC_MESSAGES/yay.mo
0.6675961141282697,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/pl_PL/LC_MESSAGES/yay.mo
0.6457228328505976,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/nl/LC_MESSAGES/yay.mo
0.7321847578158175,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/ko/LC_MESSAGES/yay.mo
0.7222324376621542,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/ja/LC_MESSAGES/yay.mo
0.6365098401208082,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/it_IT/LC_MESSAGES/yay.mo
0.6372931852002228,0,0,0,0,0,0,0.0,1,/home/mr1jk1/Documents/eli/yay/pkg/yay/usr/share/locale/id/LC_MESSAGES/yay.mo
